0.05,0.10,0.20,0.50,1.00
2.00,421.00,2.00,1.00,9.00
3600.00,1140.00,211.00,1.00,5.00
3718.00,5.00,206.00,10.00,1.00
2001.00,1.00,80.00,6.00,62.00
838.00,1.00,1.00,7.00,9.00
1253.00,567.00,149.00,14.00,13.00
254.00,607.00,75.00,1.00,12.00
2321.00,2.00,106.00,15.00,1.00
1172.00,1682.00,406.00,25.00,110.00
2.00,11.00,109.00,2.00,1.00
1516.10,443.70,134.50,8.20,22.30
